Data,Tag,Pos,Canzone,Artista
2026-01-03,NEW✨,86,"Gehra Hua (From ""Dhurandhar"")",Arijit Singh & Armaan Khan
2026-01-03,NEW✨,87,A Holly Jolly Christmas,Burl Ives
2026-01-03,NEW✨,88,Save Your Tears,The Weeknd & Ariana Grande
2026-01-03,NEW✨,89,One More Sleep,Leona Lewis
2026-01-03,NEW✨,90,Happy Xmas (War Is Over) (Ultimate Mix),John & Yoko/The Plastic Ono Band With The Harlem Community Choir
2026-01-03,NEW✨,91,Christmas (Baby Please Come Home),Mariah Carey
2026-01-03,NEW✨,92,Raindance,Dave & Tems
2026-01-03,NEW✨,93,Christmas Time,Bryan Adams
2026-01-03,NEW✨,94,Mary's Boy Child / Oh My Lord,Boney M.
2026-01-03,NEW✨,95,Iris,Goo Goo Dolls
2026-01-03,NEW✨,96,Espresso,Sabrina Carpenter
2026-01-03,NEW✨,97,like JENNIE,JENNIE
2026-01-03,NEW✨,98,Love Me Not,Ravyn Lenae
2026-01-03,NEW✨,99,Creep,Radiohead
2026-01-03,NEW✨,100,"Ishq Jalakar: Karvaan (From ""Dhurandhar"")","Shashwat Sachdev, Shahzad Ali, Subhadeep Das Chowdhury & Armaan Khan"
2026-01-03,NEW✨,101,Not Cute Anymore,ILLIT
2026-01-03,NEW✨,102,Mele Kalikimaka (Merry Christmas),Bing Crosby & The Andrews Sisters
2026-01-03,NEW✨,103,Good Goodbye,HWASA
2026-01-03,NEW✨,104,Sailor Song,Gigi Perez
2026-01-03,NEW✨,105,Wildflower,Billie Eilish
2026-01-03,NEW✨,106,Christmas Tree Farm,Taylor Swift
2026-01-03,NEW✨,107,"Dhurandhar: Title Track (From ""Dhurandhar"")","Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Shashwat Sachdev, Muhammad Sadiq & Ranjit Kaur"
2026-01-03,NEW✨,108,Manchild,Sabrina Carpenter
2026-01-03,NEW✨,109,BBUU!,PLAVE
2026-01-03,NEW✨,110,12 To 12,sombr
2026-01-03,NEW✨,111,Nuevayol,Bad Bunny
2026-01-03,NEW✨,112,Si Antes Te Hubiera Conocido,Karol G
2026-01-03,NEW✨,113,Marlboro Rojo,Fuerza Regida
2026-01-03,NEW✨,114,"Rudolph, The Red-Nosed Reindeer",Dean Martin
2026-01-03,NEW✨,115,One Of The Girls,"The Weeknd, JENNIE & Lily-Rose Depp"
2026-01-03,NEW✨,116,Jump,BLACKPINK
2026-01-03,NEW✨,117,Perfect,Ed Sheeran
2026-01-03,NEW✨,118,Christmastime Is Here,Vince Guaraldi Trio
2026-01-03,NEW✨,119,Eu Me Apaixonei,Vitinho Imperador
2026-01-03,NEW✨,120,Shape Of You,Ed Sheeran
2026-01-03,NEW✨,121,The Night We Met,Lord Huron
2026-01-03,NEW✨,122,Sweater Weather,The Neighbourhood
2026-01-03,NEW✨,123,XMAS,Kylie Minogue
2026-01-03,NEW✨,124,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
2026-01-03,NEW✨,125,Blinding Lights,The Weeknd
2026-01-03,NEW✨,126,Starboy,The Weeknd Featuring Daft Punk
2026-01-03,NEW✨,127,Jingle Bell Rock,Daryl Hall  John Oates
2026-01-03,NEW✨,128,Phantom,EsDeeKid & Rico Ace
2026-01-03,NEW✨,129,Take On Me,a-ha
2026-01-03,NEW✨,130,EOO,Bad Bunny
2026-01-03,NEW✨,131,Yogurcito,Blessd
2026-01-03,NEW✨,132,Last Christmas,Ariana Grande
2026-01-03,NEW✨,133,Timeless,The Weeknd & Playboi Carti
2026-01-03,NEW✨,134,La Cancion,J Balvin & Bad Bunny
2026-01-03,NEW✨,135,I'll Be Home,Meghan Trainor
2026-01-03,NEW✨,136,White Christmas,Michael Buble Duet With Shania Twain
2026-01-03,NEW✨,137,Santa Claus Is Coming To Town,Frank Sinatra
2026-01-03,NEW✨,138,Billie Jean,Michael Jackson
2026-01-03,NEW✨,139,Santa's Coming For Us,Sia
2026-01-03,NEW✨,140,Ya Borracho,Herencia de Grandes
2026-01-03,NEW✨,141,Another Love,Tom Odell
2026-01-03,NEW✨,142,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee"
2026-01-03,NEW✨,143,Que Pasaria...,Rauw Alejandro & Bad Bunny
2026-01-03,NEW✨,144,Let Me Love You,DJ Snake Featuring Justin Bieber
2026-01-03,NEW✨,145,Have Yourself A Merry Little Christmas,Michael Buble
2026-01-03,NEW✨,146,"Shararat (From ""Dhurandhar"")",Madhubanti Bagchi & Jasmine Sandlas
2026-01-03,NEW✨,147,Sedia Aku Sebelum Hujan,Idgitaf
2026-01-03,NEW✨,148,That's So True,Gracie Abrams
2026-01-03,NEW✨,149,Yellow,Coldplay
2026-01-03,NEW✨,150,Pela Ultima Vez (O Puro Suco Do Brasil),Grupo Menos E Mais & Nattan
2026-01-03,NEW✨,151,Under The Tree,Ed Sheeran
2026-01-03,NEW✨,152,Seven,Jung Kook Featuring Latto
2026-01-03,NEW✨,153,Messy,Lola Young
2026-01-03,NEW✨,154,In The End,Linkin Park
2026-01-03,NEW✨,155,Santa Claus Is Comin' To Town,Jackson 5
2026-01-03,NEW✨,156,Tu Vas Sin (Fav),Rels B
2026-01-03,NEW✨,157,Voy A Llevarte Pa PR,Bad Bunny
2026-01-03,NEW✨,158,Everybody Wants To Rule The World,Tears for Fears
2026-01-03,NEW✨,159,I Run,HAVEN. Featuring Kaitlin Aragon
2026-01-03,NEW✨,160,Jingle Bells,Michael Buble Featuring The Puppini Sisters
2026-01-03,NEW✨,161,How It’s Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
2026-01-03,NEW✨,162,Don't Say You Love Me,Jin
2026-01-03,NEW✨,163,Die For You,The Weeknd & Ariana Grande
2026-01-03,NEW✨,164,Wheels On The Bus,CoComelon
2026-01-03,NEW✨,165,Shake The Snow Globe,Gwen Stefani
2026-01-03,NEW✨,166,Gata Only,FloyyMenor X Cris Mj
2026-01-03,NEW✨,167,Lonely This Christmas,Mud
2026-01-03,NEW✨,168,All The Stars,Kendrick Lamar & SZA
2026-01-03,NEW✨,169,Coqueta,Fuerza Regida & Grupo Frontera
2026-01-03,NEW✨,170,Running Up That Hill (A Deal With God),Kate Bush
